,name,address,longitude,latitude
1,Plum Bistro,"1429 12th Ave, Seattle, WA 98122, United States",-122.3171866,47.6138243
2,Kati Vegan Thai,"1190 Thomas St, Seattle, WA 98109, United States",-122.3334116,47.6209668
3,Loving Hut,"1226 S Jackson St, Seattle, WA 98144, United States",-122.31593,47.599455
4,Cafe Flora,"2901 E Madison St, Seattle, WA 98112, United States",-122.295116,47.624027
5,HeartBeet Organic Superfoods Cafe,"1635 Queen Anne Ave N, Seattle, WA 98109, United States",-122.357367,47.63459
6,Harvest Beat,"1711 N 45th St, Seattle, WA 98103, United States",-122.3367769,47.66128
7,Wayward Vegan Cafe,"801 NE 65th St, Seattle, WA 98115, United States",-122.3198787,47.67571419999999
8,Araya's Place,"5240 University Way, Seattle, WA 98105, United States",-122.3127421,47.6675611
9,Veggie Grill,"446 Terry Ave N, Seattle, WA 98109, United States",-122.3369198,47.6230785
10,No Bones Beach Club,"5410 17th Ave NW, Seattle, WA 98107, United States",-122.3786058,47.66835520000001
11,Eggs and Plants,"2229 5th Ave, Seattle, WA 98121, United States",-122.3428815,47.6157243
12,Pantry By Plum Bistro,"305 Harrison St, Seattle, WA 98109, United States",-122.3512233,47.6211747
13,Highline Bar,"210 Broadway E, Seattle, WA 98102, United States",-122.3206564,47.6202913
14,El Borracho Pike Place Market,"1521 1st Ave, Seattle, WA 98101, United States",-122.3407153,47.6093214
15,Bang Bang Cafe,"2460 Western Ave, Seattle, WA 98121, United States",-122.3491991,47.613959
16,Araya's Place,"2808 E Madison St, Seattle, WA 98112, United States",-122.2962986,47.6240112
17,Bamboo Garden Vegetarian Cuisine,"364 Roy St, Seattle, WA 98109, United States",-122.349462,47.6255512
18,Pizza Pi Vegan Pizzeria,"5500 University Way, Seattle, WA 98105, United States",-122.31287,47.668609
19,In the Bowl,"1554 E Olive Way, Seattle, WA 98102, United States",-122.3257051,47.6187257
20,Broadfork Cafe - Uptown,"111 Queen Anne Ave N #102, Seattle, WA 98109, United States",-122.3569644,47.6187276
21,Wedgwood II Vegetarian Thai,"420 Broadway E #5010, Seattle, WA 98102, United States",-122.320602,47.62264
22,Seattle Lotus Vegetarian Restaurant,"10439 16th Ave SW, Seattle, WA 98146, United States",-122.355624,47.508826
23,Veggie Grill,"2681 NE University Village St, Seattle, WA 98105, United States",-122.298581,47.66288
24,Broadfork Cafe - U District,"4757 12th Ave NE, Seattle, WA 98105, United States",-122.315545,47.664746
25,Sugar Plum,"324 15th Ave E, Seattle, WA 98112, United States",-122.3124446,47.6213612
26,Silence Heart Nest Vegetarian Restaurant,"3508 Fremont Pl N, Seattle, WA 98103, United States",-122.3502651,47.6508259
27,Petra Mediterranean Bistro,"2501 4th Ave, Seattle, WA 98121, United States",-122.3465673,47.6166787
28,juicebox café,"1517 12th Ave #100, Seattle, WA 98122, United States",-122.3170381,47.6146428
29,Miss Cafe,"1523 1st Ave, Seattle, WA 98101, United States",-122.3407592,47.60936359999999
30,Cycle Dogs,"1514 NW Leary Way, Seattle, WA 98107, United States",-122.3771019,47.6638795
31,Sunlight Cafe,"6404 9th Ave NE #100, Seattle, WA 98115, United States",-122.3183859,47.6751932
32,Anar,"Amazon Building Doppler, 2040 6th Ave, Seattle, WA 98121, United States",-122.3385859,47.6150919
33,Bounty Kitchen,"7 Boston St, Seattle, WA 98109, United States",-122.356645,47.6382216
34,Mamnoon,"1508 Melrose Ave, Seattle, WA 98122, United States",-122.3275997,47.6143863
35,Rocco's,"2228 2nd Ave, Seattle, WA 98121, United States",-122.345114,47.614016
36,Flying Apron,"3510 Fremont Ave N, Seattle, WA 98103, United States",-122.3496554,47.6509558
37,Cafe Yumm!,"717 Pine St, Seattle, WA 98101, United States",-122.3339547,47.6126587
38,The Cookie Counter,"7415 Greenwood Ave N, Seattle, WA 98103, United States",-122.3555992,47.6829905
39,World Pizza,"672 S King St, Seattle, WA 98104, United States",-122.3239332,47.5984972
40,Noi Thai Cuisine - Seattle,"1303 1st Ave, Seattle, WA 98101, United States",-122.3390107,47.6066844
41,Chuminh Tofu,"1043 S Jackson St, Seattle, WA 98104, United States",-122.3177796,47.5989097
42,Oak,"3019 Beacon Ave S, Seattle, WA 98144, United States",-122.310015,47.576394
43,The Pink Door,"1919 Post Alley, Seattle, WA 98101, United States",-122.3425604,47.6103652
44,Next Level Burger Roosevelt,"1026B NE 64th St, Seattle, WA 98115, United States",-122.3159999,47.6751069
45,Local 360,"2234 1st Ave, Seattle, WA 98121, United States",-122.3462019,47.613434
46,Jhanjay Vegetarian Thai Cuisine,"1718 N 45th St, Seattle, WA 98103, United States",-122.3367266,47.6615099
47,Yard House,"1501 4th Ave #118, Seattle, WA 98101, United States",-122.3373483,47.6105131
48,Wild Ginger,"1401 3rd Ave, Seattle, WA 98101, United States",-122.3373437,47.6088914
49,Bacco Cafe,"86 Pine St, Seattle, WA 98101, United States",-122.3414064,47.6100967
50,The Crumpet Shop,"1503 1st Ave, Seattle, WA 98101, United States",-122.3405168,47.6090398
51,The Carlile Room,"820 Pine St, Seattle, WA 98101, United States",-122.3322677,47.6135618
52,Nue,"1519 14th Ave, Seattle, WA 98122, United States",-122.3144481,47.6147255
53,Sound View Cafe,"1501 Pike Pl Ste 501, Seattle, WA 98101, United States",-122.3407369,47.6086274
54,Tallulah's,"550 19th Ave E, Seattle, WA 98112, United States",-122.3071216,47.6242408
55,Bahn Thai Restaurant,"409 Roy St, Seattle, WA 98109, United States",-122.3483807,47.6252372
56,Cyclops,"2421 1st Ave, Seattle, WA 98121, United States",-122.3487041,47.6144685
57,Chaco Canyon Organic Cafe,"3770 SW Alaska St, Seattle, WA 98126, United States",-122.3799421,47.5611741
58,Orfeo,"2107 3rd Ave, Seattle, WA 98121, United States",-122.3426918,47.6132644
59,Portage Bay Cafe - South Lake Union,"391 Terry Ave N, Seattle, WA 98109, United States",-122.3374189,47.621843
0,NuVegan Café,"2928 Georgia Ave NW, Washington, DC 20001, United States",-77.023267,38.9278482
1,ELife Restaurant Takoma Park (Formerly Evolve),"341 Cedar St NW, Washington, DC 20012, United States",-77.0180273,38.9749363
2,HipCityVeg,"712 7th St NW, Washington, DC 20001, United States",-77.02209200000001,38.8989621
3,Elizabeth's Gone Raw,"1341 L St NW, Washington, DC 20005, United States",-77.0312593,38.9039606
4,Fare Well,"406 H St NE, Washington, DC 20002, United States",-77.00014670000002,38.900353
5,Shouk,"655 K St NW, Washington, DC 20001, United States",-77.0205574,38.9027742
6,Equinox Restaurant,"818 Connecticut Ave NW, Washington, DC 20006, United States",-77.0386407,38.9009528
7,Khepra's Raw Food Juice Bar,"408 H St NE, Washington, DC 20002, United States",-77.0001042,38.9004053
8,Fruitive,"1094 Palmer Alley NW, Washington, DC 20001, United States",-77.026823,38.900255
9,Protein Bar & Kitchen,"398 7th St NW, Washington, DC 20004, United States",-77.02208449999999,38.89462899999999
10,Keren Cafe & Restaurant,"1780 Florida Ave NW, Washington, DC 20009, United States",-77.0412551,38.9168463
11,Pow Pow,"1253 H St NE, Washington, DC 20002, United States",-76.98857199999999,38.899969
12,Fancy Radish,"600 H St NE, Washington, DC 20002, United States",-76.9969974,38.9003492
13,Beefsteak,"1528 Connecticut Ave NW, Washington, DC 20036, United States",-77.04435939999999,38.9107808
14,Chaia Tacos Georgetown,"3207 Grace St NW, Washington, DC 20007, United States",-77.0632605,38.9041121
15,Sweet Sosumba Jamaican Vegan Cafe,"3501 Georgia Ave NW Unit B, Washington, DC 20010, United States",-77.023634,38.932987
16,Amsterdam Falafelshop,"2425 18th St NW, Washington, DC 20009, United States",-77.04195530000001,38.9211625
17,Beefsteak,"800 22nd St NW, Washington, DC 20052, United States",-77.049052,38.9005327
18,Soupergirl,"314 Carroll St NW, Washington, DC 20012, United States",-77.01699839999999,38.9748417
19,NuVegan Cafe - Howard University,"2397 6th St NW, Washington, DC 20059, United States",-77.019107,38.9240217
20,Soupergirl,"1829 M St NW, Washington, DC 20036, United States",-77.0428522,38.9058197
21,True Food Kitchen,"Solaire Bethesda |, 7100 Wisconsin Ave, Bethesda, MD 20814, United States",-77.0926265,38.9802331
22,Sunrise Caribbean Restaurant,"5329 Georgia Ave NW, Washington, DC 20011, United States",-77.02757090000001,38.9547049
23,Busboys and Poets,"2021 14th St NW, Washington, DC 20009, United States",-77.0316146,38.9179232
24,Coppi's Organic Restaurant,"3321 Connecticut Ave NW, Washington, DC 20008, United States",-77.05724359999999,38.9341672
25,Indique,"3512 Connecticut Ave NW, Washington, DC 20008, United States",-77.0591097,38.9360417
26,Busboys and Poets,"235 Carroll St NW, Washington, DC 20012, United States",-77.01488049999999,38.9750012
27,Senbeb Cafe,"6224 3rd St NW, Washington, DC 20011, United States",-77.0164269,38.9657189
28,Glo Lalibela Ethiopian Restaurant,"1608 7th St NW, Washington, DC 20001, United States",-77.02220559999999,38.9114937
29,Mark's Kitchen,"7006 Carroll Ave, Takoma Park, MD 20912, United States",-77.0120975,38.9748762
30,Asmara ERITREAN Restaurant,"2218 18th St NW, Washington, DC 20009, United States",-77.04177539999999,38.9193346
31,Teaism Dupont Circle,"2009 R St NW, Washington, DC 20009, United States",-77.045816,38.912772
32,Protein Bar & Kitchen,"925 17th St NW, Washington, DC 20006, United States",-77.0381858,38.9021078
33,Doi Moi,"1800 14th St NW, Washington, DC 20009, United States",-77.032209,38.914361
34,Silver New American Brasserie,"3404 Wisconsin Ave, Washington, DC 20016, United States",-77.0729039,38.934959
35,Busboys and Poets,"450 K St NW, Washington, DC 20001, United States",-77.01859809999999,38.9028836
36,Sprig and Sprout,"2317 Wisconsin Ave NW, Washington, DC 20007, United States",-77.07158299999999,38.920775
37,Founding Farmers DC,"1924 Pennsylvania Ave NW, Washington, DC 20006, United States",-77.0445269,38.9002854
38,Bistro Aracosia,"5100 MacArthur Blvd, Washington, DC 20016, United States",-77.1016981,38.9249207
39,Simply Banh Mi,"1624 Wisconsin Ave NW, Washington, DC 20007, United States",-77.0657053,38.9114651
40,Zaytinya,"701 9th St NW, Washington, DC 20001, United States",-77.023684,38.8987445
41,Teak Wood,"1323 14th St NW, Washington, DC 20005, United States",-77.0317318,38.9080348
42,Agora,"1527 17th St NW, Washington, DC 20036, United States",-77.0382863,38.91064830000001
43,DC Dosa,"Union Market, 1309 5th St NE, Washington, DC 20002, United States",-76.997163,38.90848
44,Casbah Cafe,"1721 Wisconsin Ave NW, Washington, DC 20007, United States",-77.06689999999999,38.914379
45,&pizza,"2465 18th St NW, Washington, DC 20009, United States",-77.04217,38.92214
46,Busboys and Poets,"625 Monroe St NE, Washington, DC 20017, United States",-76.9974649,38.9321041
47,Queen of Sheba Ethiopian,"1503 9th St NW, Washington, DC 20001, United States",-77.0238445,38.9098126
48,Karma Modern Indian,"611 I St NW, Washington, DC 20001, United States",-77.02081770000001,38.90100049999999
49,Everlasting Life,"1231 Good Hope Rd SE, Washington, DC 20020, United States",-76.98761739999999,38.8669721
50,The Little Beet,"Central Place, 1800 N Lynn St, Arlington, VA 22209, United States",-77.07111549999999,38.896941
51,Smoke & Barrel,"2471 18th St NW, Washington, DC 20009, United States",-77.04235969999999,38.9222524
52,sweetgreen,"1512 Connecticut Ave NW, Washington, DC 20036, United States",-77.04424379999999,38.9104487
53,Peacock Cafe,"3251 Prospect St NW, Washington, DC 20007, United States",-77.064149,38.9061081
54,Logan Tavern,"1423 P St NW, Washington, DC 20005, United States",-77.0327981,38.9097932
55,Woodlands Vegetarian Restaurant,"8046 New Hampshire Ave, Langley Park, MD 20783, United States",-76.98918979999999,38.9910589
56,&pizza,"1250 U St NW, Washington, DC 20009, United States",-77.0292377,38.9167693
57,Avocado Cafe,"1438 Wisconsin Ave NW, Washington, DC 20007, United States",-77.0641922,38.9086147
58,sweetgreen,"1461 P St NW, Washington, DC 20005, United States",-77.0339645,38.9098374
59,&pizza,"1375 Kenyon St NW, Washington, DC 20010, United States",-77.0317907,38.9299262
