,name,address,longitude,latitude
25,Chop Suey,"1325 E Madison St, Seattle, WA 98122, United States",-122.3144219,47.613694
26,Cedar Room,"4912 Leary Ave NW, Seattle, WA 98107, United States",-122.3792863,47.6645716
27,Xtadium,"315 2nd Ave S, Seattle, WA 98104, United States",-122.3319202,47.5995625
28,R Place,"619 E Pine St, Seattle, WA 98122, United States",-122.3236564,47.6150683
29,Dimaloft,"1551 Minor Ave, Seattle, WA 98101, United States",-122.3286736,47.6144828
30,The Triple Door,"216 Union St, Seattle, WA 98101, United States",-122.3374196,47.608704
31,Black Lodge,"427 Eastlake Ave E, Seattle, WA 98109, United States",-122.3292533,47.6228269
32,Sarajevo | Restaurant & Lounge,"2332 1st Ave, Seattle, WA 98121, United States",-122.3475051,47.614201
33,Can Can,"94 Pike St, Seattle, WA 98101, United States",-122.340432,47.60887289999999
34,Sugar Hill,"414 E Pine St, Seattle, WA 98122, United States",-122.3260567,47.6153778
35,Haus of Braxton,"Seattle, WA 98122, United States",-122.3260828,47.6170783
36,Alibi Room,"85 Pike St, Seattle, WA 98101, United States",-122.3403579,47.6082846
37,ELK House,"1716 E Fir St, Seattle, WA 98122, United States",-122.3093487,47.6028169
38,Eden Seattle,"1950 1st Ave S, Seattle, WA 98134, United States",-122.3339691,47.5845187
39,PennyRoyal,"2000 2nd Ave #100, Seattle, WA 98121, United States",-122.3417701,47.6119061
40,Dimitriou's Jazz Alley,"2033 6th Ave, Seattle, WA 98121, United States",-122.3395575,47.6148694
41,Funhouse,"109 Eastlake Ave E, Seattle, WA 98109, United States",-122.3293811,47.6186326
42,Suite 410,"410 Stewart St, Seattle, WA 98101, United States",-122.3385835,47.6126422
43,Lava Lounge,"2226 2nd Ave, Seattle, WA 98121, United States",-122.3450322,47.6139792
44,The Forge Lounge,"65 Marion St, Seattle, WA 98104, United States",-122.3370842,47.6032644
45,Joseph Boy toy,"85 Pike St, Seattle, WA 98101, United States",-122.3405616,47.6084268
46,Jelly Bar,"1901 2nd Ave, Seattle, WA 98101, United States",-122.3408395,47.6108408
47,Pony,"1221 E Madison St, Seattle, WA 98122, United States",-122.3157683,47.6130773
48,Cantina de San Patricio,"1914 Post Alley, Seattle, WA 98101, United States",-122.342222,47.61038
